,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Viscosity Value (Pa * s),Viscosity Uncertainty (Pa * s),Source
0,f4e5304134a848a197e06e680155724e,298.15,101.0,Liquid,1,C=CC#N,Solvent,1.0,,,,,,,,,,0.000344,2.1e-05,10.1021/je7006742
6,4464eb9aa22441fbada22f28c4c8c338,298.15,101.0,Liquid,1,COc1ccc(C=O)cc1,Solvent,1.0,,,,,,,,,,0.003706,0.000164,10.1021/je7006742
12,6b0e735189554476be9287b3cebfdc34,298.15,101.0,Liquid,1,O=Cc1ccccc1,Solvent,1.0,,,,,,,,,,0.001399,6.65e-05,10.1021/je7006742
18,9731eaa84d5d430d98f099bc00ef6c0e,298.15,101.0,Liquid,1,COc1ccc(C=O)cc1,Solvent,1.0,,,,,,,,,,0.003706,0.000164,10.1021/je7006742
28,c558aa35635e4555bfd7e19abef70962,298.15,101.0,Liquid,1,C=CC#N,Solvent,1.0,,,,,,,,,,0.000344,2.1e-05,10.1021/je7006742
84,e581197418b747ad914de8fdf30acb40,298.15,101.0,Liquid,1,O=Cc1ccccc1,Solvent,1.0,,,,,,,,,,0.001399,6.65e-05,10.1021/je7006742
94,f3706f7ceb1d46e6b921b1aa0925b9ee,298.15,101.0,Liquid,1,C=CC#N,Solvent,1.0,,,,,,,,,,0.000344,2.1e-05,10.1021/je7006742
0,1bb7e8a69f9e4a0f83de79c477e1078a,298.15,101.0,Liquid,1,CCCO,Solvent,1.0,,,,,,,,,,0.002017,6e-06,10.1021/je700700f
2,48adbaad3790476584ea8a4e4ab87586,298.15,101.0,Liquid,1,CC(C)O,Solvent,1.0,,,,,,,,,,0.002082,6.5e-06,10.1021/je700700f
4,beb520d0c0784e36936dcef80c6a8735,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,4e-06,10.1021/je700700f
7,9fb43f64a5374c9ba7baf40ab7f8c259,298.15,101.325,Liquid,1,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.09758,0.0015995,10.1021/je700700f
8,c4ca66e2b3754b3badeab9b136beb6bf,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,4e-06,10.1021/je700700f
20,667fbda7f4e04a86a6cc659c23323b6f,298.15,101.0,Liquid,1,CCCO,Solvent,1.0,,,,,,,,,,0.002017,6e-06,10.1021/je700700f
34,07394336048c4315b426df17c0d857ec,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,4e-06,10.1021/je700700f
46,a81303bc00b14e578f481b7935eae9c3,298.15,101.0,Liquid,1,CC(C)O,Solvent,1.0,,,,,,,,,,0.002082,6.5e-06,10.1021/je700700f
0,b8572ed52a3f424ca937994f36268ef1,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.000894,4.5e-06,10.1021/je700703h
15,460d0410e897479d9d2de88cfa175238,303.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.0008,4e-06,10.1021/je700703h
1,f105c5a41ff7478bb5a174631536b912,298.15,101.325,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.001082,4.5e-06,10.1021/je700710d
3,0e3b4dac68ee494e89fe00b255f98008,298.15,101.325,Liquid,1,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.09758,0.001995,10.1021/je700710d
0,e3bb83d7e5494ef1b92940d34b3f582e,298.15,101.325,Liquid,1,CCCCOP(=O)(OCCCC)OCCCC,Solvent,1.0,,,,,,,,,,0.00345,0.00011,10.1021/je700746a
1,75a74771741245b7ba86df36bde240dc,298.15,101.325,Liquid,1,CC(=O)CC(C)C,Solvent,1.0,,,,,,,,,,0.00056,2e-05,10.1021/je700746a
0,1ee58e0955274efdb4fa1e9af59f840a,303.15,101.0,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,,,0.00076,4e-06,10.1021/je700755t
12,fc85e81a1bd9423495ea92686fdaba00,303.15,101.0,Liquid,1,O=CO,Solvent,1.0,,,,,,,,,,0.001437,6.5e-06,10.1021/je700755t
24,e5107c8b8d9f48d9877682f58ccc7074,303.15,101.0,Liquid,1,CC(=O)O,Solvent,1.0,,,,,,,,,,0.001059,4.5e-06,10.1021/je700755t
36,40bde7f053eb41c2a73ec7e6a08679df,303.15,101.0,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,,,0.00076,4e-06,10.1021/je700755t
46,fcca67d3ba754c28a3696bceded42ed9,303.15,101.0,Liquid,1,CC(=O)O,Solvent,1.0,,,,,,,,,,0.001059,4.5e-06,10.1021/je700755t
168,4b9dc9459b6d457b9dfcdd763ba96b9b,303.15,101.0,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,,,0.00076,4e-06,10.1021/je700755t
178,e91714c085ea4fe08dc1c7d896e78906,303.15,101.0,Liquid,1,O=CO,Solvent,1.0,,,,,,,,,,0.001437,6.5e-06,10.1021/je700755t
0,4fd060783b3e422c932b0b3a96f61dfc,298.15,101.0,Liquid,1,CCCCO,Solvent,1.0,,,,,,,,,,0.002573,8e-06,10.1021/je7007654
1,ecb3434d65744063b49ee9ddb3ebe2ea,303.15,101.0,Liquid,1,CCCCO,Solvent,1.0,,,,,,,,,,0.002275,7e-06,10.1021/je7007654
6,f127c242cf864a5aaae56c682afc522a,298.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.003041,1.15e-05,10.1021/je7007654
7,5b2c245d64e549c9919d0ae80e17258c,303.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.002706,1e-05,10.1021/je7007654
12,f40ed1bf8f564e60838413e4d28012bf,298.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.003041,1.15e-05,10.1021/je7007654
27,6c4ffe979d0d40e8b702a1c7b9d8a3e7,298.15,101.0,Liquid,1,CCCCO,Solvent,1.0,,,,,,,,,,0.002573,8e-06,10.1021/je7007654
28,1bb21142eb414e8cb2ed2ac258aa88b8,303.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.002706,1e-05,10.1021/je7007654
43,c2444de219f544bf99a495c438613c4d,303.15,101.0,Liquid,1,CCCCO,Solvent,1.0,,,,,,,,,,0.002275,7e-06,10.1021/je7007654
1,2f43434c39fd4a73b7c00b1f07338eef,303.25,101.325,Liquid,1,ClP(Cl)Oc1ccccc1,Solvent,1.0,,,,,,,,,,0.001835,1.2e-05,10.1021/je8000427
1,dc01aca3a8d840ccad430db3db7c9612,298.15,101.325,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,,,,,0.0033528,1.36e-05,10.1021/je800048f
3,e837df93aea04c9ca905a03002e754f8,298.15,101.325,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.0002949,2.4e-06,10.1021/je800048f
5,a6dbfbde18084940922708951414558b,298.15,101.325,Liquid,1,CCCCCl,Solvent,1.0,,,,,,,,,,0.0004235,2.7e-06,10.1021/je800048f
7,67d9a5a8db644de49353c48f30ecb8a5,298.15,101.325,Liquid,1,CC(C)(C)O,Solvent,1.0,,,,,,,,,,0.0043839,1.88e-05,10.1021/je800048f
1,d7a828a330cb4309a8dc21a8206a1af9,298.15,101.325,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,,,,,,,,,,0.000871,5.5e-06,10.1021/je800071q
3,c5a0e21acc494504a45d281c159ed62e,298.15,101.325,Liquid,1,Cc1ccccc1,Solvent,1.0,,,,,,,,,,0.000577,3.5e-06,10.1021/je800071q
5,cfb9b8827df34ebebada2ea70770110b,298.15,101.325,Liquid,1,c1ccsc1,Solvent,1.0,,,,,,,,,,0.000612,3.5e-06,10.1021/je800071q
7,fdc5459cf7b64aa9a749006aee99197e,298.15,101.325,Liquid,1,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.09037,0.00242,10.1021/je800071q
0,42f6dc955fa044b2907aff0287cce91b,298.15,101.0,Liquid,1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1103,0.0033,10.1021/je8001128
2,15d4063b2843406fb108aebbe879d4db,298.15,101.0,Liquid,1,COC=O,Solvent,1.0,,,,,,,,,,0.0003,5e-05,10.1021/je8001128
4,7a01b1e513ba416386cb0d73273dbc1f,298.15,101.0,Liquid,1,COC(C)=O,Solvent,1.0,,,,,,,,,,0.0004,5e-05,10.1021/je8001128
6,3f693a458c294195ad8eaedf7c7f490f,298.15,101.0,Liquid,1,CCOC=O,Solvent,1.0,,,,,,,,,,0.0004,5e-05,10.1021/je8001128
8,c00b65f26f70476487c7cc8739d3cd8f,298.15,101.0,Liquid,1,CC(C)=O,Solvent,1.0,,,,,,,,,,0.0003,5e-05,10.1021/je8001128
10,52f62c921ead4af2a0e13ea3307f5fc7,298.15,101.0,Liquid,1,COC=O,Solvent,1.0,,,,,,,,,,0.0003,5e-05,10.1021/je8001128
24,27c59527eb8f4cfc811cf405aa13392e,298.15,101.0,Liquid,1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1103,0.0033,10.1021/je8001128
40,ecb2705779394276bff58027c330e79e,298.15,101.0,Liquid,1,COC(C)=O,Solvent,1.0,,,,,,,,,,0.0004,5e-05,10.1021/je8001128
54,da0f11ad6de241e9b5d3509da24b924c,298.15,101.0,Liquid,1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1103,0.0033,10.1021/je8001128
70,b73e8b93777f402ea0d958bab3465696,298.15,101.0,Liquid,1,CCOC=O,Solvent,1.0,,,,,,,,,,0.0004,5e-05,10.1021/je8001128
84,46096e76e970454a94c43ef10d3eeded,298.15,101.0,Liquid,1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1103,0.0033,10.1021/je8001128
100,c531c7ad8f7f4ebc9bfb44d748726fea,298.15,101.0,Liquid,1,CC(C)=O,Solvent,1.0,,,,,,,,,,0.0003,5e-05,10.1021/je8001128
114,cf46052795ae4eb3ac12996f1594a482,298.15,101.0,Liquid,1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1103,0.0033,10.1021/je8001128
0,7e3b8273315248c1acd88f161209db2d,303.15,101.0,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,,,0.000759,5.5e-06,10.1021/je800138b
12,eb56fdd0c70f42e2ad8ec47614ea79e5,303.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.001521,9.5e-06,10.1021/je800138b
24,727f12ed330740179e056c12183ffc3f,303.15,101.0,Liquid,1,CS(C)=O,Solvent,1.0,,,,,,,,,,0.001786,1.1e-05,10.1021/je800138b
36,a6441f56141042f2840cc79127c68cac,303.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.001521,9.5e-06,10.1021/je800138b
46,018a7738729d4bb5a8d2f78b3e075cbd,303.15,101.0,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,,,0.000759,5.5e-06,10.1021/je800138b
168,e83443ea68ea4877b7fc27648bf36e8e,303.15,101.0,Liquid,1,CS(C)=O,Solvent,1.0,,,,,,,,,,0.001786,1.1e-05,10.1021/je800138b
178,26c22b0b648847f1bbaf57e10d1478a9,303.15,101.0,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,,,0.000759,5.5e-06,10.1021/je800138b
4,9bd3ef57929d469e93f1106336c6116e,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.000894,2.25e-05,10.1021/je800150h
5,ac0e422809ce4c8fb657bcd9ac4ee9c1,303.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.000799,2.05e-05,10.1021/je800150h
26,aa73b229caac4d7aac0a68e947b8eaf0,298.15,101.0,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.001105,2.7e-05,10.1021/je800150h
27,5628ececb5b5459aa50217cfbe787f0f,303.15,101.0,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.00101,2.5e-05,10.1021/je800150h
698,9ebebd41e9f24ba2b4b1a328185dd589,298.15,101.0,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.001105,2.7e-05,10.1021/je800150h
699,72c9211cf356456999858e0ccf4d26d2,303.15,101.0,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.00101,2.5e-05,10.1021/je800150h
1932,45d7160799ff4ac09b7842abd4749eea,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.000894,2.25e-05,10.1021/je800150h
1933,a32b80b398934d198f3b49b9eb99bdf3,303.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.000799,2.05e-05,10.1021/je800150h
0,5649437ff325448dac6de9dd796004a2,298.15,101.0,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.001082,0.0002015,10.1021/je800159w
6,505b4f4d130a4e3884abc686c6964f0f,298.15,101.325,Liquid,1,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,Solvent,1.0,,,,,,,,,,0.1614,0.01295,10.1021/je800159w
7,abd783d683404bfab2a5ffc8311bf441,303.15,101.325,Liquid,1,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,Solvent,1.0,,,,,,,,,,0.1236,0.0077,10.1021/je800159w
36,ee1eb41d27754fd494fb4b7dda33d86e,298.15,101.0,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.001082,0.0002015,10.1021/je800159w
103,7cb62b20c345422195cc2df08a70b39f,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,0.0002,10.1021/je800159w
3,321791c64a214535af848fdb2b37b86a,298.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.0005509,1.9e-06,10.1021/je800164w
4,d1ea08de5e2a4c46b500871431cd0ec0,303.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.0005154,1.8e-06,10.1021/je800164w
25,e84a69bb389340c092e31ba280171421,298.15,101.325,Liquid,1,C=C(C)C(=O)OC,Solvent,1.0,,,,,,,,,,0.000554,2.35e-06,10.1021/je800164w
26,5c3f35f8aec248ec9a17353c74edc36e,303.15,101.325,Liquid,1,C=C(C)C(=O)OC,Solvent,1.0,,,,,,,,,,0.0005248,2.25e-06,10.1021/je800164w
0,e2da2f10dc4e4393b7a464be34a607a8,298.15,101.0,Liquid,1,CS(C)=O,Solvent,1.0,,,,,,,,,,0.001996,1.515e-05,10.1021/je8001909
1,68d2a9a2b259446c8e1784fc626f6b5e,303.15,101.0,Liquid,1,CS(C)=O,Solvent,1.0,,,,,,,,,,0.0018357,1.41e-05,10.1021/je8001909
10,83515cae097546c5b1e484c0ed6bfad5,298.15,101.0,Liquid,1,CC#N,Solvent,1.0,,,,,,,,,,0.0003417,3.4e-06,10.1021/je8001909
11,8058a82ee11d4d75be08404fae67b812,303.15,101.0,Liquid,1,CC#N,Solvent,1.0,,,,,,,,,,0.000328,3.3e-06,10.1021/je8001909
20,e7a3eaa285254d02b7a42b6b0695ccf9,298.15,101.0,Liquid,1,CS(C)=O,Solvent,1.0,,,,,,,,,,0.001996,1.515e-05,10.1021/je8001909
21,30e168adb6484e6f8e360cadd60a8b17,303.15,101.0,Liquid,1,CS(C)=O,Solvent,1.0,,,,,,,,,,0.0018357,1.41e-05,10.1021/je8001909
135,c807b15e9e6645729f6cdee1f245577f,298.15,101.0,Liquid,1,CC#N,Solvent,1.0,,,,,,,,,,0.0003417,3.4e-06,10.1021/je8001909
136,a3b69b55df0946008dbf47d8e9f7eee0,303.15,101.0,Liquid,1,CC#N,Solvent,1.0,,,,,,,,,,0.000328,3.3e-06,10.1021/je8001909
1,4e63bdd8e59b4f4faf33cb1ee22534ca,303.15,101.0,Liquid,1,CC(=O)CC(C)(C)O,Solvent,1.0,,,,,,,,,,0.00289,6.515e-05,10.1021/je8002699
8,2d7a2875d66640d9ad1b4c3fd0a20c74,303.15,101.0,Liquid,1,O=[N+]([O-])c1ccccc1,Solvent,1.0,,,,,,,,,,0.0016167,3.79e-05,10.1021/je8002699
14,309813965d9547b8956abb2ea3948234,303.15,101.0,Liquid,1,CCc1ccccc1,Solvent,1.0,,,,,,,,,,0.000577,2.335e-05,10.1021/je8002699
21,1794a3d240614c0a951cbfb783474358,298.15,101.325,Liquid,1,Cc1ccccc1,Solvent,1.0,,,,,,,,,,0.000555,2.1e-06,10.1021/je8002699
22,1413ace2a5e141cb8b147b6783808fc5,303.15,101.0,Liquid,1,O=[N+]([O-])c1ccccc1,Solvent,1.0,,,,,,,,,,0.0016167,3.79e-05,10.1021/je8002699
32,6ec4d5f8076a4e1686cecbc87e907399,303.15,101.0,Liquid,1,CC(=O)CC(C)(C)O,Solvent,1.0,,,,,,,,,,0.00289,6.515e-05,10.1021/je8002699
88,f174e391e25741d78c682c06f8ddc093,303.15,101.0,Liquid,1,CCc1ccccc1,Solvent,1.0,,,,,,,,,,0.000577,2.335e-05,10.1021/je8002699
98,c821aaa2dd904706ae5fb1c327dd6856,303.15,101.0,Liquid,1,CC(=O)CC(C)(C)O,Solvent,1.0,,,,,,,,,,0.00289,9.74e-05,10.1021/je8002699
0,fbddea1098fd486ab1dbf6b33454397e,298.15,101.325,Liquid,1,CN(CCO)CCO,Solvent,1.0,,,,,,,,,,0.07785,0.00238,10.1021/je800282a
0,7e2208a43d2a4d158b924f387d79b162,303.15,101.325,Liquid,1,CC(=O)OCCC(C)C,Solvent,1.0,,,,,,,,,,0.000741,6.5e-06,10.1021/je800325d
4,eb1a9f191e52443192322a72aa95995c,303.15,101.325,Liquid,1,COC(=O)c1ccccc1,Solvent,1.0,,,,,,,,,,0.001679,8.5e-06,10.1021/je800325d
8,4d2c4db661c245419ed6d7c84f7a4444,303.15,101.325,Liquid,1,Cc1ccccc1C,Solvent,1.0,,,,,,,,,,0.000695,7e-06,10.1021/je800325d
12,06f6ed6f8d374024949f6376531da571,303.15,101.325,Liquid,1,Cc1cccc(C)c1,Solvent,1.0,,,,,,,,,,0.000557,6.5e-06,10.1021/je800325d
16,9564e54c6b624e81b78ac95c6212d025,303.15,101.325,Liquid,1,Cc1ccc(C)cc1,Solvent,1.0,,,,,,,,,,0.000566,7e-06,10.1021/je800325d
20,c2f674c8021c42949b3a9e307bc4bb8f,303.15,101.325,Liquid,1,CCc1ccccc1,Solvent,1.0,,,,,,,,,,0.000597,6.5e-06,10.1021/je800325d
0,30dabf1e6cc54f468e109ab0a66b5ad9,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,5.5e-06,10.1021/je800330d
52,4ceef754ca9445c8b29c7f7d8ec78f6b,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,5.5e-06,10.1021/je800330d
132,efb4af5309334582a8e2a3affe971959,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,5.5e-06,10.1021/je800330d
212,f9ffdee8e00142d29c35d9860978e5d9,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,5.5e-06,10.1021/je800330d
1,ffe35984d1fd4ea6b84c483e5378dac8,298.15,101.0,Liquid,1,CCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.0008434,1.095e-05,10.1021/je800348s
2,145905518e9e40ddbd395646026ff03b,303.15,101.0,Liquid,1,CCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.0008172,1.06e-05,10.1021/je800348s
