,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Density Value (g / ml),Density Uncertainty (g / ml),Source,Component 2,Role 2,Mole Fraction 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol)
790,c856ac75e2ab42428aed6fa8595736ea,298.14,101.0,Liquid,1,OCCO,Solvent,1.0,1.10987,8.000000000000002e-05,10.1007/s10765-011-1149-x,,,,,
791,32069e210cb44f619e0ddf1395035d8c,293.0,101.0,Liquid,1,C1CCCCC1,Solvent,1.0,0.7785400000000001,8.000000000000002e-05,10.1016/j.fluid.2011.01.018,,,,,
792,52ec4d3798e9428582f8d3df8c6a3154,313.0,101.0,Liquid,1,c1ccccc1,Solvent,1.0,0.8575700000000003,8.000000000000002e-05,10.1016/j.fluid.2011.01.018,,,,,
793,890d82a947df4bc295080ad3af45d580,303.0,101.0,Liquid,1,c1ccccc1,Solvent,1.0,0.8683000000000002,8.000000000000002e-05,10.1016/j.fluid.2011.01.018,,,,,
794,c3fde785443b4bd982125146299eb52f,293.0,101.0,Liquid,1,c1ccccc1,Solvent,1.0,0.8789800000000002,8.000000000000002e-05,10.1016/j.fluid.2011.01.018,,,,,
799,daabfbca29234321adbd40ff09173ce2,298.2,101.325,Liquid,1,CCCCCCO,Solvent,1.0,0.8158800000000002,8.000000000000002e-05,10.1016/j.fluid.2016.12.025,,,,,
882,73b67ab82a3940c596e37d9c91cc83fc,293.15,101.3,Liquid,1,c1ccccc1,Solvent,1.0,0.8789180000000002,8.250000000000003e-05,10.1021/je700254t,,,,,
942,25ca735e777d48cf8a88e431ca2ab7e7,298.25,101.325,Liquid,1,CCCCCC,Solvent,1.0,0.6551700000000001,8.500000000000002e-05,10.1021/je300631s,,,,,
943,bfd7c8b4b0b74d78996838a5c61dbbf7,298.2,101.325,Liquid,1,CCCCCCCC,Solvent,1.0,0.6986800000000001,8.500000000000002e-05,10.1021/je3002283,,,,,
962,5a53c44f76814a79927731d3b7526dbf,297.15,101.325,Liquid,1,C=CCCCC,Solvent,1.0,0.6689860000000002,8.500000000000002e-05,10.1016/j.jct.2017.12.002,,,,,
964,691949115e494d83a2ea88af47e98d65,318.14,101.325,Liquid,1,OCCO,Solvent,1.0,1.0957360000000005,8.500000000000002e-05,10.1016/j.jct.2008.09.018,,,,,
966,155bc4cb83b94b119cc402dc6e59ab41,315.65,101.325,Liquid,1,OCCO,Solvent,1.0,1.0975180000000002,8.500000000000002e-05,10.1016/j.jct.2008.09.018,,,,,
999,a14037e02dd24a549b7d1e96b4249ece,308.14,101.325,Liquid,1,OCCO,Solvent,1.0,1.1028400000000005,8.550000000000003e-05,10.1016/j.jct.2008.09.018,,,,,
1001,16c9eb8db4884e5e844685230166aeb0,310.65,101.325,Liquid,1,OCCO,Solvent,1.0,1.1010730000000004,8.550000000000003e-05,10.1016/j.jct.2008.09.018,,,,,
1007,98889cdf8e634521b44f7b64a7eded95,295.15,101.325,Liquid,1,C=CCCCC,Solvent,1.0,0.6708710000000001,8.550000000000003e-05,10.1016/j.jct.2017.12.002,,,,,
1022,7f278adb5cff464396886c1389d34453,313.14,101.325,Liquid,1,OCCO,Solvent,1.0,1.0992980000000003,8.550000000000003e-05,10.1016/j.jct.2008.09.018,,,,,
1030,0eb5f02950b64f10a559c8f47a9c338c,305.64,101.325,Liquid,1,OCCO,Solvent,1.0,1.1046050000000005,8.600000000000002e-05,10.1016/j.jct.2008.09.018,,,,,
1032,61f2eefb40bd45b1926b235700cddfcd,301.35,101.325,Liquid,1,C=CCCCC,Solvent,1.0,0.6649980000000002,8.600000000000002e-05,10.1016/j.jct.2017.12.002,,,,,
1036,b3017cebc5c345baa63c040eb0928e9a,293.15,101.325,Liquid,1,C=CCCCC,Solvent,1.0,0.6732270000000001,8.600000000000002e-05,10.1016/j.jct.2017.12.002,,,,,
1058,624eb5afba59480581dbd9a68dd7a3ba,300.65,101.325,Liquid,1,OCCO,Solvent,1.0,1.1081240000000003,8.650000000000002e-05,10.1016/j.jct.2008.09.018,,,,,
1062,ae6f6828ff7249d382235efeed1c19ce,298.14,101.325,Liquid,1,OCCO,Solvent,1.0,1.1098750000000002,8.650000000000002e-05,10.1016/j.jct.2008.09.018,,,,,
1070,8a78bdd4e7f14d8ab1be69a8780ca45b,295.64,101.325,Liquid,1,OCCO,Solvent,1.0,1.1116240000000004,8.700000000000001e-05,10.1016/j.jct.2008.09.018,,,,,
1086,3a9cc21e69564f7e8c1567105d8f1691,293.14,101.325,Liquid,1,OCCO,Solvent,1.0,1.1133720000000005,8.750000000000001e-05,10.1016/j.jct.2008.09.018,,,,,
1088,487ab18a60234b57a7447712433a6637,290.64,101.325,Liquid,1,OCCO,Solvent,1.0,1.1151180000000005,8.750000000000001e-05,10.1016/j.jct.2008.09.018,,,,,
1145,8b23d547efad419188085d45c2f5c326,293.15,100.0,Liquid,1,c1ccncc1,Solvent,1.0,0.9830530000000002,8.950000000000002e-05,10.1016/j.fluid.2016.02.031,,,,,
1149,ff33f29de5254701b4c1ba48dfca30e1,293.2,101.325,Liquid,1,CC(=O)O,Solvent,1.0,1.0494200000000002,9.000000000000002e-05,10.1016/j.fluid.2005.09.013,,,,,
1198,1d53b13cee69498682861152edd6bae9,303.15,100.0,Liquid,1,CCCCCl,Solvent,1.0,0.8749200000000001,9.000000000000002e-05,10.1021/je800012v,,,,,
1204,06f14c5419bd49348595aabc769f2ce5,303.15,100.0,Liquid,1,c1ccncc1,Solvent,1.0,0.9729790000000004,9.000000000000002e-05,10.1016/j.fluid.2016.02.031,,,,,
1208,3f32a43286634decb49ba883c0c1d91a,293.15,100.0,Liquid,1,CCCCCl,Solvent,1.0,0.8861800000000002,9.000000000000002e-05,10.1021/je800012v,,,,,
1211,5dfa981996f7483cae81785bfb66116b,298.15,101.33,Liquid,1,Cc1ccccc1,Solvent,1.0,0.8621700000000002,9.000000000000002e-05,10.1021/je900807v,,,,,
1216,4694f854f8bd4613b995d7bca4de9990,298.15,100.0,Liquid,1,COC=O,Solvent,1.0,0.9662800000000002,9.000000000000002e-05,10.1016/j.jct.2015.02.019,,,,,
1217,b5263790cf7546bdbdc8973e02b710fa,303.15,100.8,Liquid,1,OCc1ccccc1,Solvent,1.0,1.0374500000000002,9.000000000000002e-05,10.1021/je201009c,,,,,
1218,7e63152c03844394ab300c5eea96e272,313.15,100.8,Liquid,1,OCc1ccccc1,Solvent,1.0,1.02961,9.000000000000002e-05,10.1021/je201009c,,,,,
1222,0b4eddee3d884843b38360cef051045e,298.15,101.33,Liquid,1,CCc1ccccc1,Solvent,1.0,0.8625100000000002,9.000000000000002e-05,10.1021/je900807v,,,,,
1227,2f0924c33b244f91867778ab3500d050,313.15,100.0,Liquid,1,c1ccncc1,Solvent,1.0,0.9628570000000002,9.050000000000002e-05,10.1016/j.fluid.2016.02.031,,,,,
1228,a8412587319a4cc6b2dd770f7c1d231b,308.15,100.0,Liquid,1,c1ccncc1,Solvent,1.0,0.9679230000000002,9.050000000000002e-05,10.1016/j.fluid.2016.02.031,,,,,
1270,27a1b2befd664ccd83b42a8b7090ad95,297.2,100.1,Liquid,1,CCCCCCCC,Solvent,1.0,0.6989770000000002,9.150000000000002e-05,10.1021/acs.jced.8b00825,,,,,
1311,9ddaa5c3cc40433bb46946bb61e2d012,298.2,100.1,Liquid,1,CCCCCCCC,Solvent,1.0,0.6982640000000002,9.250000000000004e-05,10.1021/acs.jced.8b00825,,,,,
1319,c19c9897358e48ab9837fc25caa2a269,298.0,101.325,Liquid,1,Cc1ccccc1,Solvent,1.0,0.8576060000000002,9.300000000000002e-05,10.1016/j.fluid.2014.12.027,,,,,
1352,3d68a419757e45728ea014ca62293ee1,299.5,100.1,Liquid,1,CCCCCCCC,Solvent,1.0,0.6971280000000002,9.400000000000002e-05,10.1021/acs.jced.8b00825,,,,,
1382,6e235fab72bd4342ad9d701da27b4824,293.0,101.0,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,0.6918800000000002,9.500000000000002e-05,10.1016/j.fluid.2011.01.018,,,,,
1383,04ff1801aa30498fb38a6532f7ff72f0,313.15,100.0,Liquid,1,CCCCCl,Solvent,1.0,0.8638200000000003,9.500000000000002e-05,10.1021/je800012v,,,,,
1385,7f10414292d849c4b25aaff84c8c2842,298.2,101.325,Liquid,1,CCCCCC,Solvent,1.0,0.6552900000000002,9.500000000000002e-05,10.1021/je3002283,,,,,
1390,218b77a0ca6c4c6f8efee27861dac586,293.2,101.325,Liquid,1,c1ccccc1,Solvent,1.0,0.8765300000000001,9.500000000000002e-05,10.1021/je050231r,,,,,
1391,39b3c0e7486242cebe9455611cc11618,293.15,100.8,Liquid,1,OCc1ccccc1,Solvent,1.0,1.0454400000000004,9.500000000000002e-05,10.1021/je201009c,,,,,
1392,f3fa504f02624b0d9a7d6e941230409a,293.15,101.0,Liquid,1,OCc1ccccc1,Solvent,1.0,1.0454400000000004,9.500000000000002e-05,10.1021/je201009c,,,,,
1393,6487adbdfafc416d8154640f916b8883,293.15,100.0,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,0.6919100000000001,9.500000000000002e-05,10.1021/acs.jced.5b00105,,,,,
1396,c3eb4251dfbf4d609f018a4d5b87ec91,295.2,100.1,Liquid,1,CCCCCCCC,Solvent,1.0,0.7005920000000001,9.500000000000002e-05,10.1021/acs.jced.8b00825,,,,,
1401,3d275cd0f886405d9ce5e547b4c06481,308.15,100.0,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,0.6795100000000002,9.500000000000002e-05,10.1021/acs.jced.5b00105,,,,,
1402,99efe09e5e7b439c936cad3065e35f37,303.15,100.0,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,0.6836800000000001,9.500000000000002e-05,10.1021/acs.jced.5b00105,,,,,
1403,7495aca832ec4abbaf1e158a76e9aeed,302.94,101.0,Liquid,1,CCCCCCC,Solvent,1.0,0.6757200000000002,9.500000000000002e-05,10.1021/je060200b,,,,,
1404,6b231a913b5a4bd19beb8390cb204952,303.1,100.0,Liquid,1,CC(C)=O,Solvent,1.0,0.7791400000000002,9.500000000000002e-05,10.1016/j.jct.2003.12.001,,,,,
1405,8fe96bfe48a94b0eba019c8eaaabedf9,308.08,100.0,Liquid,1,CC(C)=O,Solvent,1.0,0.7731800000000001,9.500000000000002e-05,10.1016/j.jct.2003.12.001,,,,,
